Japonês,Furigana,Romaji,Significado
先生,せんせい,sensei,professor(a)
学生,がくせい,gakusei,estudante
会社員,かいしゃいん,kaishain,funcionário de empresa
医者,いしゃ,isha,médico(a)
看護師,かんごし,kangoshi,enfermeiro(a)
店員,てんいん,ten'in,atendente de loja
エンジニア,えんじにあ,enjinia,engenheiro(a)
公務員,こうむいん,koumuin,funcionário público
警察官,けいさつかん,keisatsukan,policial
消防士,しょうぼうし,shouboushi,bombeiro
弁護士,べんごし,bengoshi,advogado(a)
主婦,しゅふ,shufu,dona de casa
料理人,りょうりにん,ryourinin,cozinheiro(a)
運転手,うんてんしゅ,untenshu,motorista
店長,てんちょう,tenchou,gerente de loja
農家,のうか,nouka,agricultor(a)
美容師,びようし,biyoushi,cabeleireiro(a)
歌手,かしゅ,kashu,cantor(a)
俳優,はいゆう,haiyuu,ator
会社社長,かいしゃしゃちょう,kaisha shachou,presidente da empresa
