Japonês,Furigana,Romaji,Significado
本,ほん,hon,livro
ノート,のーと,nooto,caderno
鉛筆,えんぴつ,enpitsu,lápis
ペン,ぺん,pen,caneta
消しゴム,けしごむ,keshigomu,borracha
机,つくえ,tsukue,mesa
椅子,いす,isu,cadeira
鞄,かばん,kaban,bolsa / mochila
時計,とけい,tokei,relógio
傘,かさ,kasa,guarda-chuva
靴,くつ,kutsu,sapatos
靴下,くつした,kutsushita,meias
服,ふく,fuku,roupa
帽子,ぼうし,boushi,chapéu / boné
眼鏡,めがね,megane,óculos
電話,でんわ,denwa,telefone
携帯電話,けいたいでんわ,keitai denwa,celular
テレビ,てれび,terebi,televisão
パソコン,ぱそこん,pasokon,computador
カメラ,かめら,kamera,câmera
机,つくえ,tsukue,mesa
電気,でんき,denki,luz / eletricidade
冷蔵庫,れいぞうこ,reizouko,geladeira
エアコン,えあこん,eakon,ar-condicionado
窓,まど,mado,janela
ドア,どあ,doa,porta
部屋,へや,heya,quarto / cômodo
家,いえ,ie,casa
鍵,かぎ,kagi,chave
紙,かみ,kami,papel
写真,しゃしん,shashin,foto
新聞,しんぶん,shinbun,jornal
手紙,てがみ,tegami,carta
花,はな,hana,flor
箱,はこ,hako,caixa
皿,さら,sara,prato
コップ,こっぷ,koppu,copo
ナイフ,ないふ,naifu,faca
フォーク,ふぉーく,fooku,garfo
スプーン,すぷーん,supuun,colher
机,つくえ,tsukue,mesa
ベッド,べっど,beddo,cama
洗濯機,せんたくき,sentakuki,máquina de lavar
掃除機,そうじき,soujiki,aspirador de pó
教科書,きょうかしょ,kyoukasho,livro didático
地図,ちず,chizu,mapa
財布,さいふ,saifu,carteira
お金,おかね,okane,dinheiro
切手,きって,kitte,selo
はがき,はがき,hagaki,cartão postal
