Japonês,Furigana,Romaji,Significado
大きい,おおきい,ookii,grande
小さい,ちいさい,chiisai,pequeno
長い,ながい,nagai,longo
短い,みじかい,mijikai,curto
高い,たかい,takai,caro / alto
安い,やすい,yasui,barato
新しい,あたらしい,atarashii,novo
古い,ふるい,furui,velho
良い,いい,ii,bom
悪い,わるい,warui,ruim
暑い,あつい,atsui,quente (clima)
寒い,さむい,samui,frio (clima)
熱い,あつい,atsui,quente (coisa)
冷たい,つめたい,tsumetai,frio (coisa)
忙しい,いそがしい,isogashii,ocupado
楽しい,たのしい,tanoshii,divertido
面白い,おもしろい,omoshiroi,interessante / engraçado
難しい,むずかしい,muzukashii,difícil
易しい,やさしい,yasashii,fácil
近い,ちかい,chikai,perto
遠い,とおい,tooi,longe
早い,はやい,hayai,rápido / cedo
遅い,おそい,osoi,devagar / tarde
広い,ひろい,hiroi,amplo / espaçoso
狭い,せまい,semai,estreito
強い,つよい,tsuyoi,forte
弱い,よわい,yowai,fraco
重い,おもい,omoi,pesado
軽い,かるい,karui,leve
明るい,あかるい,akarui,claro / iluminado
暗い,くらい,kurai,escuro
好き,すき,suki,gostar / favorito
嫌い,きらい,kirai,não gostar / detestar
有名,ゆうめい,yuumei,famoso
元気,げんき,genki,saudável / animado
静か,しずか,shizuka,silencioso / calmo
親切,しんせつ,shinsetsu,gentil
暇,ひま,hima,livre / desocupado
大変,たいへん,taihen,difícil / duro
便利,べんり,benri,conveniente
上手,じょうず,jouzu,habilidoso
下手,へた,heta,desajeitado / não habilidoso
大好き,だいすき,daisuki,adorar
大嫌い,だいきらい,daikirai,odiar
簡単,かんたん,kantan,simples / fácil
大丈夫,だいじょうぶ,daijoubu,tudo bem / sem problema
