Japonês,Furigana,Romaji,Significado
学校,がっこう,gakkou,escola
大学,だいがく,daigaku,universidade
中学校,ちゅうがっこう,chuugakkou,ensino fundamental II
小学校,しょうがっこう,shougakkou,ensino fundamental I
病院,びょういん,byouin,hospital
銀行,ぎんこう,ginkou,banco
郵便局,ゆうびんきょく,yuubinkyoku,correio
図書館,としょかん,toshokan,biblioteca
会社,かいしゃ,kaisha,empresa
店,みせ,mise,loja
スーパー,すーぱー,suupaa,supermercado
デパート,でぱーと,depaato,loja de departamentos
喫茶店,きっさてん,kissaten,cafeteria tradicional
レストラン,れすとらん,resutoran,restaurante
ホテル,ほてる,hoteru,hotel
駅,えき,eki,estação de trem
空港,くうこう,kuukou,aeroporto
公園,こうえん,kouen,parque
家,いえ,ie,casa
部屋,へや,heya,quarto / sala
トイレ,といれ,toire,banheiro
玄関,げんかん,genkan,entrada da casa
教室,きょうしつ,kyoushitsu,sala de aula
事務所,じむしょ,jimusho,escritório
工場,こうじょう,koujou,fábrica
映画館,えいがかん,eigakan,cinema
動物園,どうぶつえん,doubutsuen,zoológico
美術館,びじゅつかん,bijutsukan,museu de arte
水族館,すいぞくかん,suizokukan,aquário
神社,じんじゃ,jinja,santuário xintoísta
お寺,おてら,otera,templo budista
