まいにち	todo dia	mainichi
あさ	manhã	asa
ひる	tarde	hiru
よる	noite	yoru
きのう	ontem	kinou
あした	amanhã	ashita
いま	agora	ima
〜じ	hora (ex: 8じ = 8 horas)	~ji
〜ふん	minuto	~fun
〜ようび	dia da semana	~youbi
おきます	acordar	okimasu
ねます	dormir	nemasu
たべます	comer	tabemasu
のみます	beber	nomimasu
みます	assistir, ver	mimasu
いきます	ir	ikimasu
かえります	voltar para casa	kaerimasu
べんきょうします	estudar	benkyou shimasu
よみます	ler	yomimasu
します	fazer	shimasu
ごはん	arroz, refeição	gohan
パン	pão	pan
みず	água	mizu
コーヒー	café	koohii
おちゃ	chá	ocha
おさけ	saquê, bebida alcoólica	osake
テレビ	televisão	terebi
ほん	livro	hon
にほんご	língua japonesa	nihongo
よく	frequentemente	yoku
ときどき	às vezes	tokidoki
あまり	raramente (usado com negação)	amari
ぜんぜん	nunca (usado com negação)	zenzen
