ちち	meu pai	chichi
はは	minha mãe	haha
あに	meu irmão mais velho	ani
あね	minha irmã mais velha	ane
おとうと	meu irmão mais novo	otouto
いもうと	minha irmã mais nova	imouto
そふ	meu avô	sofu
そぼ	minha avó	sobo
おじ	meu tio	oji
おば	minha tia	oba
かぞく	minha família	kazoku
おとうさん	pai (de outra pessoa)	otousan
おかあさん	mãe (de outra pessoa)	okaasan
おにいさん	irmão mais velho (de outra pessoa)	oniisan
おねえさん	irmã mais velha (de outra pessoa)	oneesan
おとうとさん	irmão mais novo (de outra pessoa)	otoutosan
いもうとさん	irmã mais nova (de outra pessoa)	imoutosan
おじいさん	avô (de outra pessoa)	ojiisan
おばあさん	avó (de outra pessoa)	obaasan
ごかぞく	família (de outra pessoa)	gokazoku
だれ	quem	dare
だれの	de quem	dareno
の	partícula de posse	no
