にん	contador de pessoas	nin
まい	contador de coisas finas (folhas, camisetas)	mai
ほん	contador de coisas longas (garrafas, lápis)	hon
つ	contador genérico para coisas pequenas	tsu
さい	contador de idade	sai
いくつ	quantas coisas?	ikutsu
なんにん	quantas pessoas?	nannin
なんさい	quantos anos?	nansai
おいくつ	quantos anos? (formal)	oikutsu
ひとつ	uma coisa	hitotsu
ふたつ	duas coisas	futatsu
みっつ	três coisas	mittsu
よっつ	quatro coisas	yottsu
いつつ	cinco coisas	itsutsu
むっつ	seis coisas	muttsu
ななつ	sete coisas	nanatsu
やっつ	oito coisas	yattsu
ここのつ	nove coisas	kokonotsu
とお	dez coisas	too
はっさい	8 anos	hassai
じゅっさい	10 anos	jussai
じゅうはっさい	18 anos	juuhassai
にじゅっさい	20 anos	nijussai
りんご	maçã	ringo
かみ	papel	kami
シャツ	camiseta	shatsu
ペン	caneta	pen
おさら	prato	osara
ひと	pessoa	hito
がくせい	estudante	gakusei
ともだち	amigo	tomodachi
