Frente,Verso,Romaji
たなかさんは がっこうに いきます。,Tanaka vai à escola.,Tanaka-san wa gakkou ni ikimasu.
わたしは にほんじんです。,Eu sou japonês.,Watashi wa nihonjin desu.
これは わたしの ほんです。,Este é meu livro.,Kore wa watashi no hon desu.
あした テストが あります。,Amanhã tem prova.,Ashita tesuto ga arimasu.
でんしゃで いきます。,Vou de trem.,Densha de ikimasu.
せんせいは きょうしつに います。,O professor está na sala.,Sensei wa kyoushitsu ni imasu.
わたしは コーヒーが すきです。,Eu gosto de café.,Watashi wa koohii ga suki desu.
いま なんじですか？,Que horas são agora?,Ima nanji desu ka?
にちようびに ともだちと あそびます。,Domingo vou brincar com amigos.,Nichiyoubi ni tomodachi to asobimasu.
これは たかいですね。,"Isso é caro, né?",Kore wa takai desu ne.
わたしの しゅみは えいがです。,Meu hobby é cinema.,Watashi no shumi wa eiga desu.
にほんごを べんきょうしています。,Estou estudando japonês.,Nihongo o benkyou shiteimasu.
きょうは あついですね。,"Está quente hoje, né?",Kyou wa atsui desu ne.
いぬが にわに います。,O cachorro está no jardim.,Inu ga niwa ni imasu.
へやを そうじします。,Vou limpar o quarto.,Heya o souji shimasu.
スーパーで パンを かいます。,Vou comprar pão no mercado.,Suupaa de pan o kaimasu.
きのう テレビを みました。,Ontem assisti TV.,Kinou terebi o mimashita.
じてんしゃで がっこうに いきます。,Vou de bicicleta para a escola.,Jitensha de gakkou ni ikimasu.
おちゃを のみますか？,Você vai beber chá?,Ocha o nomimasu ka?
あしたの よていは なんですか？,Qual é o plano para amanhã?,Ashita no yotei wa nan desu ka?
